board_id,board_url,style,category,pins_count
920634417515652133,https://www.pinterest.com/imbervintage/y2k-aesthetic/,Y2K,all,158
1077134504567723807,https://www.pinterest.com/knee1uh/y2k-tops/,Y2K,top,53
706291222751762721,https://www.pinterest.com/caamillabtw/2000s-tops/,Y2K,top,77
591801275974864937,https://www.pinterest.com/myswagcanneverberepliacated/2000s-tops/,Y2K,top,203
920634417516837921,https://www.pinterest.com/imbervintage/june-2025-y2k-pants/,Y2K,bottom,43
1009580510156743361,https://www.pinterest.com/Jazel_shifting777/2000-pants/,Y2K,bottom,256
591167957276892024,https://www.pinterest.com/lmehir_/y2k-shoes-3/,Y2K,shoe,61
868561546825098207,https://www.pinterest.com/stickman_wear/y2k-shoes/,Y2K,shoe,23
1038502064014509953,https://www.pinterest.com/jorachaela/y2k-shoes/,Y2K,shoe,36
501940389659213086,https://www.pinterest.com/Daniquintana13/y2k-shoes/,Y2K,shoe,15
976084987928852987,https://www.pinterest.com/itsbernicenotbeatrice/y2k-shoes/,Y2K,shoe,129
903675618888324948,https://www.pinterest.com/socoamaretolime/y2k-jackets/,Y2K,outerwear,22
1097259965402996809,https://www.pinterest.com/socoamaretolime/y2k-jackets/,Y2K,outerwear,22
1077627085776494188,https://www.pinterest.com/snowyfurryyy/y2k-jackets~~~/,Y2K,outerwear,130
910571687099777215,https://www.pinterest.com/D0LL_IN4ECT3D/2000s-jackets/,Y2K,outerwear,15
920634417516837845,https://www.pinterest.com/imbervintage/june-2025-y2k-dresses/,Y2K,one_piece,57
417075684181008693,https://www.pinterest.com/ginntoe/y2k-dresses/,Y2K,one_piece,30
775604435766927024,https://www.pinterest.com/avabeeisnow/90s-2000s-formal-dresses/,Y2K,one_piece,204
423549608645386139,https://www.pinterest.com/girmseyiii/y2k-accessoriesjewelry/,Y2K,accessory,19
164100048861722567,https://www.pinterest.com/sqkev/y2k-accessories/,Y2K,accessory,143
594756763230332159,https://www.pinterest.com/printesalala/office-shirts/,Formal/Business Casual,top,89
594756763230332159,https://www.pinterest.com/belloatinukedeborah/office-shirts/,Formal/Business Casual,top,13
1122451975818950195,https://www.pinterest.com/reosandrinsgf/office-shirt-ideas/,Formal/Business Casual,top,33
829295787574344827,https://www.pinterest.com/afuabandoh/office-shirts/,Formal/Business Casual,top,102
53832226735295001,https://www.pinterest.com/terrikau/work-tops/,Formal/Business Casual,top,371
315603955076602298,https://www.pinterest.com/tmolubi/ladies-formal-pants/,Formal/Business Casual,bottom,27
346073621305552329,https://www.pinterest.com/christine2304/office-skirt/,Formal/Business Casual,bottom,53
682928799684766369,https://www.pinterest.com/shangrillah71/office-skirt/,Formal/Business Casual,bottom,29
299911725125260885,https://www.pinterest.com/virtuous4789/work-pants/,Formal/Business Casual,bottom,21
606860187227626599,https://www.pinterest.com/shoppineappleaddict/womens-work-bottoms/,Formal/Business Casual,bottom,114
714313259587981480,https://www.pinterest.com/adhocsnehasatve/shoes-formal-women/,Formal/Business Casual,shoe,23
1090715672194114905,https://www.pinterest.com/keerthanameka05/beautiful-womens-business-casual-formal-pumps/,Formal/Business Casual,shoe,25
538954349096696130,https://www.pinterest.com/lauraeadame/work-shoes/,Formal/Business Casual,shoe,67
714524365819299684,https://www.pinterest.com/Melissa_mielrose/office-dresses/blazer/,Formal/Business Casual,outerwear,219
